lab,address,pincode,city,state,type,latitude,longitude
"Motilal Nehru Medical College, Prayagraj","Motilal Nehru Medical College, George Town, Prayagraj, Uttar Pradesh 211002, India",211002,Prayagraj,Uttar Pradesh,Government Laboratory,25.4503137,81.8518907
"Dr. Ram Manohar Lohia Institute of Medical Sciences (DR.RMLIMS), Lucknow","Dr. Ram Manohar Lohia Institute of Medical Sciences (DR.RMLIMS), Vibhuti Khand, Gomtinagar, Lucknow-226010, Uttar Pradesh, India",226010,Lucknow,Uttar Pradesh,Government Laboratory,26.8692675,81.0030807
"Sarojini Naidu Medical College, Agra","S.N. Medical College, Moti Katra, Agra - 282002 (U.P) India",282002,Agra,Uttar Pradesh,Government Laboratory,27.1879731,78.0092051
"Government Institute of Medical Sciences (GIMS), Greater Noida","Government Institute of Medical Sciences (GIMS), Greater Noida, Gautam Buddha Nagar, U.P. - 201310, India",201310,Greater Noida,Uttar Pradesh,Government Laboratory,28.4331478,77.5332241
"Ganesh Shanker Vidyarthi Memorial Medical College (GSVM Medical College), Kanpur","Ganesh Shanker Vidyarthi Memorial Medical College (GSVM Medical College), Swaroop Nagar, Kanpur 208002 ,Uttar Pradesh",208002,Kanpur,Uttar Pradesh,Government Laboratory,26.4809431,80.3075733
"National Institute of Biologicals, Noida","National Institute of Biologicals, Plot No. A-32, Sector-62, Institutional Area, Noida -201309, Uttar Pradesh, India",201309,Noida,Uttar Pradesh,Government Laboratory,28.6276216,77.3575286
"RML Mehrotra Pathology Pvt Ltd., Lucknow","RML Mehrotra Pathology Pvt Ltd., A-21/A, Nirala Nagar, Lucknow, Uttar Pradesh 226020",226020,Lucknow,Uttar Pradesh,Private Laboratory,26.8751829,80.9377213
"Department of Laboratory Medicine, Jaypee Hospital, Noida","Department of Laboratory Medicine, Jaypee Hospital, Sector 128, Noida-201304",201304,Noida,Uttar Pradesh,Private Laboratory,28.5154379,77.3714472
"Government Medical College, Haldwani","Government Medical College, Rampur Rd, Rampur, Haldwani, Uttarakhand 263129",263129,Haldwani,Uttarakhand,Government Laboratory,29.2063975,79.5213812
"All India Institute of Medical Sciences (AIIMS), Rishikesh","All India Institute of Medical Sciences (AIIMS), Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony, Rishikesh, Uttarakhand 249203",249203,Rishikesh,Uttarakhand,Government Laboratory,30.0818351,78.2887633
"Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, Dehradun","Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, 7-B Astley Hall, Ugrasain Rd, Dehradun, Uttarakhand 248001",248001,Dehradun,Uttarakhand,Private Laboratory,30.3268199,78.0470366
"ICMR-National Institute of Cholera & Enteric Diseases (NICED), Kolkata","ICMR-National Institute of Cholera & Enteric Diseases (NICED), P-33, C.I.T. Road, Scheme XM, Beleghata, Kolkata 700 010, India",700010,Kolkata,West Bengal,Government Laboratory,22.5658475,88.399816
"Institute of Post Graduate Medical Education and Research (IPGMER), Kolkata","Institute of Post Graduate Medical Education and Research (IPGMER), 244, Acharya Jagadish Chandra Bose Rd, Bhowanipore, Kolkata, West Bengal 700020",700020,Kolkata,West Bengal,Government Laboratory,22.5394793,88.3418445
"Midnapore Medical College, Midnapore","Midnapore Medical College, Vidyasagar Road , Paschim Medinipur, Midnapore, West Bengal, 721 101",721101,Midnapore,West Bengal,Government Laboratory,22.4216543,87.3231346
"North Bengal Medical College, Siliguri","North Bengal Medical College, Sushruta Nagar, Siliguri, West Bengal 734012",734012,Siliguri,West Bengal,Government Laboratory,26.6907325,88.3849092
"School of Tropical Medicine, Kolkata","School of Tropical Medicine, 108, Chittaranjan Avenue, Kolkata - 700073, West Bengal",700073,Kolkata,West Bengal,Government Laboratory,22.574963,88.359773
"Malda Medical College, Malda","Malda Medical College, Dipak Rd, 3 No. Govt Colony, Uma Roy Sarani, Malda, West Bengal 732101",732101,Malda,West Bengal,Government Laboratory,24.9925941,88.1412634
"Command Hospital (Eastern Command), Kolkata","Command Hospital (Eastern Command), Alipore, Kolkata, Pin- 700027, West Bengal, India",700027,Kolkata,West Bengal,Government Laboratory,22.5299582,88.330457
"Apollo Gleneagles Hospitals, Kolkata","Apollo Gleneagles Hospitals, 58, Canal Circular Road, Kolkata, West Bengal 700054",700054,Kolkata,West Bengal,Private Laboratory,22.574754,88.401617
"Tata Medical Center, Kolkata","Department of Laboratory Sciences, Tata Medical Center, 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",700160,Kolkata,West Bengal,Private Laboratory,22.5770971,88.4796319
"Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, Kolkata","Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, 360, Panchasayar, Kolkata, West Bengal 700094, India",700094,Kolkata,West Bengal,Private Laboratory,22.4806837,88.3941722
"AMRI Hospitals, Department of Laboratory Medicine, Kolkata","AMRI Hospitals, Department of Laboratory Medicine, JC 16 & 17, Sector III, Salt Lake City, Kolkata, West Bengal -700098, India",700098,Kolkata,West Bengal,Private Laboratory,22.5683058,88.4116656
"Suraksha Diagnostics Pvt. Ltd., Kolkata","Suraksha Diagnostics Pvt. Ltd., 12/1, Premises No. 02-0327, DG Block, Action Area 1D, Newtown, Kolkata, West Bengal 700156, India",700156,Kolkata,West Bengal,Private Laboratory,22.5806455,88.4761115
"Dr. Lal PathLabs Ltd, Reference Laboratory, Kolkata","Dr. Lal PathLabs Ltd, Reference Laboratory, Plot No. CB-31/1, Premises No. 031-0199, Street No, 199 Action area IC, Newtown, Kolkata-700156, West Bengal",700156,Kolkata,West Bengal,Private Laboratory,22.577461,88.4668507
